Attention,Meditation,Familiarity,MentalEffort,Appreciation,SignalQuality,EventTagging,Delta,Theta,Alpha,Beta,Gamma
44.000000,21.000000,-41.397254,0.958167,2.000000,1.000000,-1.000000,3.816202,4.954246,4.012703,2.518688,0.366721,
57.000000,29.000000,-13.057133,0.565663,2.000000,1.000000,-1.000000,1.162543,1.117636,0.478545,0.344208,0.052645,
54.000000,40.000000,-2.793032,1.057996,2.000000,1.000000,-1.000000,12.459380,18.547264,16.583106,7.505422,1.588952,
50.000000,41.000000,1.482761,0.412714,1.000000,1.000000,-1.000000,0.650638,2.178542,1.287823,0.494590,0.043483,
53.000000,41.000000,-4.225704,-0.203858,3.000000,1.000000,-1.000000,9.637252,8.923826,5.792556,5.982949,1.474613,
47.000000,54.000000,-5.929059,-1.308062,2.000000,1.000000,-1.000000,21.596841,26.232565,12.901913,5.246026,1.322133,
47.000000,51.000000,-0.690061,0.154741,2.000000,1.000000,-1.000000,11.425194,15.842603,13.912132,9.007805,1.425696,
50.000000,44.000000,-2.759392,-0.029091,2.000000,1.000000,-1.000000,3.159002,5.335675,2.979002,1.728390,0.533092,
43.000000,40.000000,-3.310703,-0.658524,2.000000,1.000000,-1.000000,9.493698,19.877767,13.618726,6.317133,1.886081,
43.000000,41.000000,-13.195155,-0.829321,2.000000,1.000000,-1.000000,2.783979,2.259857,1.689566,1.432807,0.106584,
37.000000,40.000000,-7.961106,-0.263019,2.000000,1.000000,-1.000000,2.922551,3.742297,1.379472,0.510624,0.099116,
37.000000,57.000000,-8.540984,0.057542,2.000000,1.000000,-1.000000,25.221366,17.583065,5.816387,4.325261,1.291060,
35.000000,61.000000,-20.035722,-1.260496,2.000000,1.000000,-1.000000,2.330112,2.985421,1.724071,0.894712,0.117752,
47.000000,54.000000,-14.882271,-3.695133,1.000000,1.000000,-1.000000,4.957333,7.631876,7.512167,3.731480,1.384053,
47.000000,61.000000,-12.968058,-3.101519,2.000000,1.000000,-1.000000,1.248434,1.076408,0.516710,0.643950,0.060343,
51.000000,48.000000,-10.322200,-0.535117,2.000000,1.000000,-1.000000,36.545210,34.962292,21.395957,9.812045,2.051791,
44.000000,51.000000,-31.027768,-1.673716,2.000000,1.000000,-1.000000,19.158350,19.768537,19.469782,8.927064,1.880148,
27.000000,51.000000,-9.272168,-3.815742,2.000000,1.000000,-1.000000,1.980442,2.634523,1.204979,0.514390,0.074052,
35.000000,44.000000,-10.689610,-0.387638,2.000000,1.000000,-1.000000,1.306913,2.172663,2.032884,1.780445,0.423801,
29.000000,50.000000,1.572547,-1.850923,3.000000,1.000000,-1.000000,10.797079,14.292689,15.168507,8.181691,2.407290,
21.000000,43.000000,-1.258301,-2.904204,2.000000,1.000000,-1.000000,3.996452,3.016143,1.060887,0.715056,0.102257,
34.000000,34.000000,-6.936708,-4.254232,2.000000,1.000000,-1.000000,2.309033,6.681636,3.964345,1.192182,0.233472,
37.000000,41.000000,-16.462163,-2.131683,2.000000,1.000000,-1.000000,23.016184,19.489522,8.815532,5.631027,1.141517,
38.000000,30.000000,3.565606,-0.057284,2.000000,1.000000,-1.000000,2.085545,2.943000,1.739835,0.447939,0.089865,
61.000000,40.000000,5.281052,-0.388182,1.000000,1.000000,-1.000000,29.516581,35.297681,18.215991,9.172521,1.842311,
60.000000,40.000000,2.801279,-2.896782,2.000000,1.000000,-1.000000,6.878525,10.634006,8.719086,3.423211,0.859471,
50.000000,41.000000,5.593572,-0.331758,2.000000,1.000000,-1.000000,2.234221,3.426041,4.292034,4.790238,0.756728,
51.000000,54.000000,-5.640210,-0.294763,2.000000,1.000000,-1.000000,12.677908,10.898399,7.845632,6.624714,1.213623,
35.000000,37.000000,5.307194,-0.633851,2.000000,1.000000,-1.000000,4.537938,2.623327,1.524537,1.353110,0.262649,
48.000000,51.000000,-39.871120,-0.829963,2.000000,1.000000,-1.000000,0.531480,1.091797,0.608900,0.265423,0.051770,
57.000000,64.000000,2.734043,-1.117944,2.000000,1.000000,-1.000000,0.755465,1.954537,2.066816,1.439672,0.153516,
40.000000,80.000000,6.083676,-9.563812,2.000000,1.000000,-1.000000,2.470076,2.761975,1.079483,0.572522,0.084235,
40.000000,100.000000,14.098221,-1.692677,2.000000,1.000000,-1.000000,0.569094,0.847594,0.473537,0.329610,0.104527,
38.000000,91.000000,0.434916,-0.875336,2.000000,1.000000,-1.000000,19.746094,29.429571,17.841303,7.333602,1.849915,
37.000000,80.000000,9.825870,-2.340640,2.000000,1.000000,-1.000000,1.543351,2.573703,1.074459,0.279665,0.052550,
74.000000,51.000000,4.298835,-1.601127,2.000000,1.000000,-1.000000,4.715045,8.744849,5.994955,2.059080,0.453901,
77.000000,30.000000,11.260593,-1.810552,3.000000,1.000000,-1.000000,16.316874,8.739291,7.329643,5.617935,1.340174,
75.000000,27.000000,20.031206,-1.818180,2.000000,1.000000,-1.000000,5.502170,4.311902,6.492430,6.889339,1.410794,
63.000000,24.000000,0.336068,-6.819598,2.000000,1.000000,-1.000000,1.994437,3.188095,3.007306,1.538616,0.283334,
44.000000,20.000000,19.227607,-10.354370,2.000000,1.000000,-1.000000,1.354520,0.841915,0.295513,0.301797,0.040203,
53.000000,37.000000,6.423083,-4.806044,2.000000,1.000000,-1.000000,13.471665,16.888887,14.233872,8.492263,1.878867,
40.000000,34.000000,12.803307,-3.034822,1.000000,1.000000,-1.000000,8.250751,5.867747,3.669746,2.061388,0.381118,
41.000000,27.000000,16.881372,-2.467004,3.000000,1.000000,-1.000000,11.926138,12.740791,9.104912,8.391349,2.351584,
38.000000,29.000000,15.295032,-3.400254,4.000000,1.000000,-1.000000,14.565522,11.487525,10.324388,6.887120,1.329842,
41.000000,24.000000,17.895419,-2.592429,2.000000,1.000000,-1.000000,3.048180,3.667554,3.414544,2.951505,0.632939,
43.000000,26.000000,16.489259,-4.925156,2.000000,1.000000,-1.000000,1.719030,4.256252,3.128177,1.580389,0.351063,
48.000000,20.000000,-9.791303,-9.397526,4.000000,1.000000,-1.000000,17.981072,27.219166,10.783450,8.715065,1.863819,
38.000000,16.000000,19.535659,-2.928044,2.000000,1.000000,-1.000000,1.036267,3.489393,2.299201,0.993778,0.107251,
38.000000,8.000000,27.090879,-9.528411,4.000000,1.000000,-1.000000,5.166922,5.417398,2.141540,1.531711,0.253077,
53.000000,10.000000,28.621409,-4.457729,2.000000,1.000000,-1.000000,1.643517,1.782830,0.965705,0.609490,0.113125,
50.000000,20.000000,28.471510,-3.322556,2.000000,1.000000,-1.000000,12.993748,20.451811,18.721871,7.916603,2.281111,
50.000000,35.000000,32.539905,-2.863106,2.000000,1.000000,-1.000000,1.303113,1.226424,0.355196,0.228293,0.040744,
48.000000,41.000000,34.878762,-2.518941,2.000000,1.000000,-1.000000,2.858122,4.868215,5.253696,2.670473,0.451712,
43.000000,51.000000,20.517884,-2.936058,3.000000,1.000000,-1.000000,15.374120,17.712382,14.961231,9.958469,3.302546,
44.000000,41.000000,39.378267,-3.225807,4.000000,1.000000,-1.000000,14.502798,10.333625,9.131176,7.439185,1.454538,
50.000000,37.000000,20.877527,-3.865122,2.000000,1.000000,-1.000000,10.443739,5.277023,4.284167,5.329252,0.884461,
35.000000,34.000000,-25.707727,-3.397758,2.000000,1.000000,-1.000000,4.242591,8.167104,10.632712,4.682227,0.770085,
17.000000,14.000000,-19.254919,-7.390301,2.000000,1.000000,-1.000000,17.428960,17.419225,13.850870,7.890050,1.702697,
26.000000,23.000000,-44.862959,-4.101015,2.000000,1.000000,-1.000000,1.855932,2.572688,1.205585,0.585921,0.072166,
37.000000,17.000000,-23.390311,-4.071358,3.000000,1.000000,-1.000000,15.729774,20.474664,15.863186,6.371755,1.587095,
30.000000,11.000000,-12.533170,-4.124654,2.000000,1.000000,-1.000000,13.123592,12.276316,10.017898,4.452693,0.972187,
30.000000,16.000000,-12.563663,-3.955550,2.000000,1.000000,-1.000000,22.520215,24.276388,18.358360,8.626911,2.109574,
17.000000,13.000000,-27.316795,-3.824061,2.000000,1.000000,-1.000000,31.903777,14.431609,8.531698,9.612859,2.090030,
17.000000,14.000000,-17.302385,-3.027292,2.000000,1.000000,-1.000000,4.851483,12.411021,11.430021,9.335281,2.094380,
24.000000,16.000000,-13.149712,-2.739910,2.000000,1.000000,-1.000000,30.096594,31.251507,19.847233,10.201277,1.865553,
38.000000,16.000000,-15.773243,-2.271909,2.000000,1.000000,-1.000000,13.833198,20.097421,15.965783,6.053961,1.815710,
38.000000,14.000000,-0.084225,-2.271268,2.000000,1.000000,-1.000000,26.002268,30.313954,14.259213,7.497006,1.521669,
24.000000,16.000000,-4.914119,-1.660886,2.000000,1.000000,-1.000000,5.472879,3.872674,2.774612,1.671235,0.410862,
29.000000,29.000000,-0.905561,-1.122464,3.000000,1.000000,-1.000000,3.048493,3.843726,2.280522,1.624626,0.191188,
20.000000,30.000000,-2.098825,-0.834239,2.000000,1.000000,-1.000000,7.940054,9.014708,6.331810,5.130290,1.274488,
29.000000,35.000000,-12.690617,-0.762349,2.000000,1.000000,-1.000000,3.727802,2.631354,1.770390,0.561575,0.047502,
48.000000,35.000000,-14.862226,-1.945521,2.000000,1.000000,-1.000000,5.632758,6.906544,3.605714,4.842597,1.140099,
48.000000,29.000000,-17.368778,-1.452236,2.000000,1.000000,-1.000000,7.721555,11.335585,11.525164,7.261307,1.907365,
48.000000,23.000000,-16.144261,-1.210792,2.000000,1.000000,-1.000000,3.660578,4.465657,5.462851,2.605348,0.527852,
40.000000,21.000000,-22.977395,-1.604304,2.000000,1.000000,-1.000000,3.421997,4.731693,3.806567,3.578475,0.973155,
27.000000,16.000000,-23.365873,-0.845785,2.000000,1.000000,-1.000000,0.758183,0.880553,0.594842,0.231920,0.070842,
27.000000,34.000000,-24.060533,-2.292989,2.000000,1.000000,-1.000000,2.308380,3.656935,3.276404,3.059548,0.494200,
29.000000,37.000000,-25.289819,-1.457883,2.000000,1.000000,-1.000000,1.816032,2.995694,2.085784,0.628671,0.085568,
35.000000,47.000000,-33.725931,-2.195824,2.000000,1.000000,-1.000000,16.165715,19.213425,9.170806,5.992379,2.092537,
26.000000,53.000000,-32.302108,-2.611364,2.000000,1.000000,-1.000000,0.808527,1.896919,1.792802,0.926404,0.149945,
23.000000,41.000000,-44.818480,-8.786440,2.000000,1.000000,-1.000000,21.185634,23.304383,13.619145,5.283850,1.004412,
23.000000,37.000000,-32.611894,-1.466909,2.000000,1.000000,-1.000000,3.880827,3.539659,1.431474,0.967322,0.113714,
23.000000,20.000000,-28.050522,-1.323882,2.000000,1.000000,-1.000000,1.176009,1.430351,0.615783,0.322269,0.068879,
40.000000,14.000000,-22.969301,-1.166891,2.000000,1.000000,-1.000000,8.770553,9.928746,4.434960,6.940343,1.179798,
41.000000,1.000000,-24.293593,-1.347987,2.000000,1.000000,-1.000000,4.239691,4.390125,2.015943,0.987456,0.104247,
47.000000,1.000000,-28.542242,-2.615155,2.000000,1.000000,-1.000000,0.828076,1.726548,0.893806,0.293493,0.067718,
54.000000,10.000000,-25.459847,-2.865290,2.000000,1.000000,-1.000000,2.500184,2.386291,1.005466,0.827627,0.174139,
53.000000,13.000000,-27.478468,-1.478291,2.000000,1.000000,-1.000000,4.074906,3.653723,7.600462,5.536679,1.058835,
44.000000,20.000000,-22.635883,-1.478941,2.000000,1.000000,-1.000000,14.278189,18.276104,11.229239,5.557234,1.600257,
44.000000,21.000000,-16.402440,-1.327593,2.000000,1.000000,-1.000000,1.594945,1.894890,1.186387,0.524378,0.055767,
38.000000,29.000000,-15.819800,-1.825233,2.000000,1.000000,-1.000000,0.981018,1.868546,0.948006,0.438720,0.046015,
35.000000,43.000000,-15.282693,-2.336716,2.000000,1.000000,-1.000000,1.208150,1.775905,1.278191,0.575068,0.093460,
51.000000,48.000000,-29.296073,-0.663699,2.000000,1.000000,-1.000000,0.212083,0.368363,0.223493,0.122201,0.041349,
54.000000,53.000000,-35.779737,-1.333468,2.000000,1.000000,-1.000000,9.103757,14.851058,13.277038,5.013224,1.190696,
47.000000,50.000000,-21.052311,-3.889369,2.000000,1.000000,-1.000000,1.012885,1.524724,0.795217,0.662076,0.126894,
47.000000,38.000000,-19.908071,-0.946020,2.000000,1.000000,-1.000000,1.523468,4.079721,4.215712,2.550263,0.576061,
21.000000,35.000000,-22.965050,-8.474830,2.000000,1.000000,-1.000000,0.675351,0.729016,0.372270,0.196240,0.053387,
30.000000,38.000000,-29.559200,-2.046724,2.000000,1.000000,-1.000000,5.719574,8.123102,6.739193,4.475338,1.144620,
38.000000,35.000000,-50.838238,-1.502829,2.000000,1.000000,-1.000000,21.072272,26.272814,10.503079,6.013449,2.389933,
26.000000,30.000000,-37.643789,-3.125009,2.000000,1.000000,-1.000000,2.936815,2.626359,1.196563,0.952404,0.129626,
51.000000,38.000000,-46.233624,-1.343664,2.000000,1.000000,-1.000000,0.771004,0.684107,0.533947,0.198615,0.050947,
38.000000,44.000000,-34.876144,-1.951259,3.000000,1.000000,-1.000000,0.743136,1.219687,0.773045,0.514991,0.057710,
41.000000,44.000000,-35.192764,-2.858229,2.000000,1.000000,-1.000000,2.003296,2.297035,1.207281,0.420389,0.102985,
51.000000,54.000000,-45.360783,-0.396432,2.000000,1.000000,-1.000000,3.181618,7.225975,9.772457,5.180886,0.890468,
29.000000,41.000000,-45.014488,-2.028252,2.000000,1.000000,-1.000000,1.864236,2.493590,1.990029,0.665804,0.119683,
