Attention,Meditation,Familiarity,MentalEffort,Appreciation,SignalQuality,EventTagging,Delta,Theta,Alpha,Beta,Gamma
57.000000,67.000000,20.896809,17.509001,4.000000,1.000000,-1.000000,8.730170,9.996069,4.257701,0.944716,0.176897,
64.000000,67.000000,22.395741,20.045865,3.000000,1.000000,-1.000000,10.034049,18.575398,16.035114,8.855720,1.350992,
56.000000,66.000000,16.866585,20.104157,3.000000,1.000000,-1.000000,8.581342,9.897319,10.052721,10.419599,1.636880,
50.000000,69.000000,23.273293,20.514060,3.000000,1.000000,-1.000000,20.198136,10.791360,4.055572,5.237786,1.271364,
48.000000,63.000000,29.371308,18.991717,4.000000,1.000000,-1.000000,2.063742,2.300144,0.884979,0.257583,0.071468,
56.000000,48.000000,32.517464,20.779400,4.000000,1.000000,-1.000000,8.465083,10.571942,9.156619,6.174565,1.455767,
70.000000,47.000000,31.690871,20.304278,4.000000,1.000000,-1.000000,2.790928,3.912220,2.444082,1.850327,0.461032,
69.000000,43.000000,37.035562,18.243001,3.000000,1.000000,-1.000000,10.070955,13.343516,12.289774,8.476494,1.423199,
66.000000,51.000000,35.711211,20.661886,3.000000,1.000000,-1.000000,8.884232,10.205943,7.239728,1.511721,0.348560,
53.000000,60.000000,34.016564,22.035126,4.000000,1.000000,-1.000000,6.964037,14.575432,9.629326,3.204018,1.205925,
41.000000,63.000000,35.659218,19.815616,3.000000,1.000000,-1.000000,8.568364,11.372470,12.035555,5.991056,0.903056,
43.000000,57.000000,39.631478,22.253559,3.000000,1.000000,-1.000000,6.987271,9.530482,4.702699,0.906466,0.100095,
40.000000,51.000000,40.172174,22.373641,4.000000,1.000000,-1.000000,4.803779,5.597652,1.928691,0.594650,0.193776,
40.000000,57.000000,38.629345,16.196883,4.000000,1.000000,-1.000000,4.058764,7.523233,4.725177,1.326906,0.193184,
40.000000,56.000000,36.269882,22.463908,3.000000,1.000000,-1.000000,12.317660,15.307094,11.181722,8.260523,1.336434,
44.000000,63.000000,24.501511,22.603217,4.000000,1.000000,-1.000000,79.648422,65.566082,59.490420,30.287994,12.832086,
41.000000,81.000000,38.598440,21.476892,3.000000,1.000000,-1.000000,1.515645,1.650029,2.266240,0.805325,0.071025,
48.000000,74.000000,38.143995,22.252841,3.000000,1.000000,-1.000000,8.749615,7.654503,3.484597,3.743868,1.230993,
38.000000,74.000000,46.569305,22.022777,4.000000,1.000000,-1.000000,1.152288,2.744145,0.979452,0.296919,0.060054,
41.000000,67.000000,50.756823,17.411239,4.000000,1.000000,-1.000000,2.861407,3.316631,1.457554,0.382682,0.043796,
66.000000,61.000000,45.096863,18.073262,2.000000,1.000000,-1.000000,22.393402,7.896348,2.325510,4.358372,0.634015,
64.000000,61.000000,-19.510177,17.271017,2.000000,1.000000,-1.000000,51.773469,26.414937,11.322410,20.223128,5.897599,
67.000000,50.000000,37.946589,20.108063,3.000000,1.000000,-1.000000,3.689938,7.969925,6.584814,2.552672,0.329463,
53.000000,56.000000,32.868704,19.971813,4.000000,1.000000,-1.000000,5.647048,10.228256,8.120013,1.874315,0.267731,
34.000000,60.000000,33.242687,21.284323,4.000000,1.000000,-1.000000,11.583637,7.762203,2.078940,1.110764,0.264619,
29.000000,64.000000,35.156273,21.099880,4.000000,1.000000,-1.000000,4.729160,5.489809,4.635075,3.232871,0.521688,
41.000000,84.000000,42.495489,19.702575,4.000000,1.000000,-1.000000,3.307017,2.388209,0.686249,0.277204,0.054978,
63.000000,81.000000,43.047317,20.801563,3.000000,1.000000,-1.000000,7.400170,8.599769,6.151117,4.506419,0.964948,
60.000000,64.000000,42.691164,19.848093,4.000000,1.000000,-1.000000,4.449167,7.750231,3.447141,1.172869,0.353008,
66.000000,63.000000,43.819667,19.762767,4.000000,1.000000,-1.000000,3.727849,11.170141,7.659116,2.186875,0.384665,
60.000000,66.000000,18.268932,19.343468,4.000000,1.000000,-1.000000,1.684372,2.178716,1.013283,0.318094,0.036343,
63.000000,66.000000,6.332600,15.612331,4.000000,1.000000,-1.000000,3.366875,6.598625,3.314230,0.701760,0.190613,
70.000000,70.000000,48.248112,17.145412,4.000000,1.000000,-1.000000,0.923661,1.888612,1.191011,0.241373,0.043489,
70.000000,70.000000,54.447715,11.943907,4.000000,1.000000,-1.000000,2.736868,5.245576,1.794778,0.416384,0.144981,
80.000000,64.000000,49.204837,17.717035,4.000000,1.000000,-1.000000,6.476258,3.044348,2.355907,2.123881,0.457065,
67.000000,61.000000,44.886219,7.157371,4.000000,1.000000,-1.000000,8.432393,7.232184,5.573291,5.041432,0.775686,
74.000000,66.000000,43.770180,17.968986,4.000000,1.000000,-1.000000,28.198539,24.377503,11.446316,4.975972,1.396117,
57.000000,60.000000,39.420115,17.975220,4.000000,1.000000,-1.000000,12.375648,17.742209,10.860432,6.230807,0.853666,
48.000000,44.000000,38.063104,17.782459,4.000000,1.000000,-1.000000,9.048022,9.528774,1.742027,1.243918,0.258518,
34.000000,53.000000,43.981234,17.355443,4.000000,1.000000,-1.000000,7.699315,11.383118,11.868144,5.086818,0.991195,
20.000000,61.000000,45.979511,17.691610,4.000000,1.000000,-1.000000,2.096638,2.640538,2.524981,6.925762,1.070041,
27.000000,60.000000,40.853977,17.712028,3.000000,1.000000,-1.000000,1.697393,2.444546,1.252986,0.269554,0.049895,
48.000000,57.000000,41.946580,18.708482,4.000000,1.000000,-1.000000,4.333479,5.551887,5.141976,2.339420,0.590557,
63.000000,54.000000,45.392078,17.538943,4.000000,1.000000,-1.000000,13.691507,16.545598,14.142782,6.019051,1.648652,
74.000000,56.000000,39.021857,17.902533,1.000000,1.000000,-1.000000,5.267713,8.891570,4.059471,1.846488,0.425193,
70.000000,63.000000,47.920679,17.779272,4.000000,1.000000,-1.000000,8.503835,9.206284,5.780807,3.775427,0.996549,
60.000000,80.000000,44.296392,18.620514,3.000000,1.000000,-1.000000,3.106158,2.764266,1.357156,1.313855,0.304277,
57.000000,88.000000,36.425253,14.849446,3.000000,1.000000,-1.000000,0.951330,1.302439,0.750127,0.213494,0.010263,
78.000000,78.000000,50.409096,19.853282,4.000000,1.000000,-1.000000,4.627960,4.344749,1.149216,0.399063,0.052600,
90.000000,69.000000,58.279975,19.253916,1.000000,1.000000,-1.000000,2.093534,1.998863,0.798874,0.221542,0.030659,
