Attention,Meditation,Familiarity,MentalEffort,Appreciation,SignalQuality,EventTagging,Delta,Theta,Alpha,Beta,Gamma
53.000000,70.000000,-2920.729924,3.231594,2.000000,1.000000,-1.000000,3.417894,3.777065,1.559385,1.263316,0.144965,
50.000000,83.000000,-2308.317144,3.191741,2.000000,1.000000,-1.000000,1.414867,1.896431,0.808091,0.479683,0.064295,
51.000000,80.000000,-3219.006449,0.919056,2.000000,1.000000,-1.000000,2.428500,2.898505,0.928450,0.648372,0.090379,
53.000000,90.000000,-3397.687042,2.970650,4.000000,1.000000,-1.000000,2.569281,2.889590,1.323045,0.423605,0.048088,
56.000000,81.000000,-134.519882,0.740750,3.000000,1.000000,-1.000000,2.198802,1.791086,1.627760,0.565914,0.152018,
60.000000,81.000000,-2042.818193,-1.299926,3.000000,1.000000,-1.000000,0.918938,2.709339,2.206299,0.628208,0.185670,
50.000000,87.000000,-2280.820328,-2.833297,4.000000,1.000000,-1.000000,3.391814,3.709705,1.681935,0.696154,0.186425,
47.000000,63.000000,-2311.363457,-4.560038,3.000000,1.000000,-1.000000,1.056393,1.735956,1.201120,0.440530,0.035352,
44.000000,57.000000,-4446.893080,2.305188,3.000000,1.000000,-1.000000,1.321849,4.380622,2.822356,0.703506,0.135139,
43.000000,43.000000,-3728.321148,2.734017,2.000000,1.000000,-1.000000,3.669805,2.936875,1.449883,0.863213,0.061260,
53.000000,30.000000,-2540.328509,2.542237,2.000000,1.000000,-1.000000,2.899294,2.591492,1.221384,0.694200,0.142993,
53.000000,47.000000,-832.984003,0.629241,4.000000,1.000000,-1.000000,3.500355,3.822813,2.072624,1.307295,0.330542,
50.000000,43.000000,-399.466887,2.045977,4.000000,1.000000,-1.000000,3.041049,2.425472,1.982748,1.100530,0.272523,
38.000000,47.000000,-1324.826331,2.037042,4.000000,1.000000,-1.000000,11.703476,11.176940,4.950097,5.607333,1.346644,
34.000000,48.000000,149.870417,0.374602,4.000000,1.000000,-1.000000,1.944366,1.495410,1.051861,0.794083,0.099076,
29.000000,50.000000,277.235101,2.438905,4.000000,1.000000,-1.000000,2.262381,2.691122,4.421164,1.809090,0.359153,
17.000000,43.000000,529.067252,0.959660,4.000000,1.000000,-1.000000,2.316123,3.060526,1.436268,0.672396,0.080401,
30.000000,51.000000,-1130.690956,1.734200,4.000000,1.000000,-1.000000,1.601127,2.018938,1.408456,0.727142,0.086696,
27.000000,54.000000,1100.003500,2.117177,4.000000,1.000000,-1.000000,2.166571,4.003843,3.246846,0.923433,0.114525,
38.000000,41.000000,1649.801533,-0.334123,2.000000,1.000000,-1.000000,0.594480,1.431026,1.154881,0.787779,0.233066,
41.000000,54.000000,2080.431027,-3.662818,4.000000,1.000000,-1.000000,3.823682,2.951233,1.681808,1.788609,0.171000,
29.000000,24.000000,-681.181634,1.703082,4.000000,1.000000,-1.000000,2.058474,2.568785,1.112500,0.443118,0.062489,
35.000000,29.000000,1756.698860,1.344417,2.000000,1.000000,-1.000000,2.744036,4.146605,2.448625,0.761831,0.102570,
30.000000,54.000000,-486.651862,0.606376,2.000000,1.000000,-1.000000,2.239159,3.053579,2.394968,1.100819,0.112928,
53.000000,44.000000,2306.870168,1.952418,1.000000,1.000000,-1.000000,1.240621,2.281503,1.308174,0.633718,0.096305,
74.000000,74.000000,2628.061575,2.092874,2.000000,1.000000,-1.000000,0.597119,2.341933,2.434716,0.935490,0.174048,
80.000000,50.000000,93.523842,1.489173,3.000000,1.000000,-1.000000,1.529262,4.288301,3.427487,0.970252,0.054192,
87.000000,50.000000,796.809081,1.985041,2.000000,1.000000,-1.000000,1.801451,2.026339,0.928231,0.703575,0.088911,
80.000000,61.000000,1201.188938,2.118258,2.000000,1.000000,-1.000000,2.020064,2.447904,1.805724,1.121717,0.155882,
