Attention,Meditation,Familiarity,MentalEffort,Appreciation,SignalQuality,EventTagging,Delta,Theta,Alpha,Beta,Gamma
40.000000,74.000000,2745.567394,3.309986,4.000000,1.000000,-1.000000,2.493512,4.691201,2.627691,0.686381,0.112528,
51.000000,64.000000,2250.669796,3.504756,4.000000,1.000000,-1.000000,8.178526,4.455789,1.454715,0.623242,0.160009,
57.000000,74.000000,1671.262735,4.274544,4.000000,1.000000,-1.000000,4.167497,3.801076,1.568160,0.964288,0.149375,
64.000000,83.000000,4291.143880,3.528082,3.000000,1.000000,-1.000000,2.251003,4.152026,3.338589,0.868967,0.134341,
63.000000,80.000000,3764.647499,2.914504,4.000000,1.000000,-1.000000,3.470267,3.651720,1.587267,0.710948,0.110768,
51.000000,64.000000,2995.868884,4.105443,4.000000,1.000000,-1.000000,3.550257,4.258571,1.890235,0.823937,0.151102,
40.000000,57.000000,5301.056088,4.031728,4.000000,1.000000,-1.000000,0.599817,1.467958,0.851288,0.446758,0.067043,
35.000000,70.000000,5380.518137,3.870932,4.000000,1.000000,-1.000000,0.969939,1.086049,0.919282,0.531587,0.125879,
41.000000,64.000000,2942.906013,3.848341,2.000000,1.000000,-1.000000,1.825337,3.028167,1.937850,0.620615,0.345159,
48.000000,70.000000,4131.319188,3.273222,3.000000,1.000000,-1.000000,0.961496,1.741561,3.244638,2.155268,0.613462,
38.000000,64.000000,4347.390278,3.811841,4.000000,1.000000,-1.000000,2.244062,1.752359,1.402367,0.779663,0.079837,
40.000000,51.000000,3483.137323,3.891261,3.000000,1.000000,-1.000000,2.448019,1.909000,1.276818,1.001961,0.082965,
27.000000,37.000000,1838.498348,3.337400,4.000000,1.000000,-1.000000,4.372423,3.466665,2.080553,0.519970,0.125673,
30.000000,44.000000,3602.116123,3.633384,4.000000,1.000000,-1.000000,1.112190,1.975311,1.192308,0.370415,0.074536,
44.000000,57.000000,2592.623493,3.574061,2.000000,1.000000,-1.000000,4.036536,2.372156,1.360141,1.138474,0.158607,
48.000000,56.000000,2330.053335,3.670085,4.000000,1.000000,-1.000000,1.678765,2.812093,2.032968,0.945756,0.085715,
51.000000,74.000000,2029.777570,3.784399,4.000000,1.000000,-1.000000,3.248816,2.899080,1.217984,0.872015,0.148576,
51.000000,70.000000,1615.064509,3.334312,3.000000,1.000000,-1.000000,4.131799,3.707135,2.181584,1.811349,0.433569,
50.000000,60.000000,1782.313625,0.783582,4.000000,1.000000,-1.000000,1.665484,1.447417,0.582771,0.261594,0.027337,
47.000000,50.000000,910.170463,3.648293,4.000000,1.000000,-1.000000,1.620456,1.956230,0.948848,0.353016,0.089166,
