Attention,Meditation,Familiarity,MentalEffort,Appreciation,SignalQuality,EventTagging,Delta,Theta,Alpha,Beta,Gamma
38.000000,50.000000,-45.207526,1.306013,2.000000,1.000000,-1.000000,4.079413,4.558881,2.114428,0.510929,0.048162,
43.000000,50.000000,-34.915068,1.026921,1.000000,1.000000,-1.000000,3.787063,3.803289,1.959933,0.983875,0.137353,
47.000000,57.000000,-29.204945,-0.617001,2.000000,1.000000,-1.000000,3.643657,3.909407,1.275993,0.466684,0.069555,
56.000000,53.000000,-64.409294,1.586988,2.000000,1.000000,-1.000000,6.454390,6.311876,5.111129,3.890234,0.682645,
57.000000,48.000000,-143.947676,0.478844,2.000000,1.000000,-1.000000,4.196125,4.388988,2.016873,0.748293,0.156501,
66.000000,53.000000,-191.523631,2.012114,4.000000,1.000000,-1.000000,2.757507,4.322274,1.936669,0.711281,0.157705,
64.000000,44.000000,-44.611617,-2.352268,2.000000,1.000000,-1.000000,1.895748,3.301717,1.654795,1.069646,0.204700,
53.000000,37.000000,-127.995645,1.389630,2.000000,1.000000,-1.000000,1.869225,1.700823,0.629552,0.287643,0.044293,
60.000000,40.000000,-44.250564,1.854218,2.000000,1.000000,-1.000000,2.018942,5.900628,5.047870,1.771909,0.154954,
53.000000,50.000000,-46.498114,1.872719,1.000000,1.000000,-1.000000,3.944797,5.670697,2.808643,1.161312,0.162741,
66.000000,53.000000,-35.284900,1.980927,1.000000,1.000000,-1.000000,3.641416,9.315777,6.747397,1.484960,0.362534,
75.000000,64.000000,-7.287210,1.739458,1.000000,1.000000,-1.000000,0.917310,2.659177,1.138743,0.356800,0.037050,
78.000000,63.000000,-71.101647,1.850985,1.000000,1.000000,-1.000000,1.306418,1.913936,1.046622,0.326798,0.095333,
80.000000,57.000000,-40.895403,1.615952,1.000000,1.000000,-1.000000,3.822171,4.044839,3.497004,3.284354,0.403159,
61.000000,67.000000,-54.579304,2.916119,1.000000,1.000000,-1.000000,1.032526,1.173039,0.612338,0.393994,0.022427,
69.000000,64.000000,-64.055245,2.903121,2.000000,1.000000,-1.000000,9.250419,12.825330,8.010628,3.132582,0.660218,
48.000000,61.000000,-78.722541,1.710294,1.000000,1.000000,-1.000000,2.669642,2.784242,0.771986,0.660411,0.132196,
44.000000,57.000000,-73.955135,2.196607,1.000000,1.000000,-1.000000,3.844121,7.890621,5.851219,2.216079,0.466540,
