Attention,Meditation,Familiarity,MentalEffort,Appreciation,SignalQuality,EventTagging,Delta,Theta,Alpha,Beta,Gamma
66.000000,50.000000,238.770907,1.474687,2.000000,1.000000,-1.000000,3.965599,5.707094,3.108501,0.701826,0.095901,
67.000000,61.000000,184.098447,0.646729,2.000000,1.000000,-1.000000,3.805707,5.823111,3.026109,0.431796,0.155399,
63.000000,81.000000,230.904427,1.473226,2.000000,1.000000,-1.000000,3.917805,5.344404,3.677212,0.895414,0.071856,
66.000000,84.000000,230.258880,0.789740,2.000000,1.000000,-1.000000,6.880107,5.189496,2.408528,2.497384,0.369638,
66.000000,84.000000,231.420827,-5.409897,2.000000,1.000000,-1.000000,26.629046,23.235552,10.766786,3.149043,0.230225,
64.000000,87.000000,237.373596,-1.883090,2.000000,1.000000,-1.000000,5.155036,5.873639,3.471553,1.005202,0.114295,
63.000000,80.000000,232.046151,-5.236839,2.000000,1.000000,-1.000000,0.964853,2.334752,1.757880,0.904438,0.145121,
60.000000,87.000000,184.635100,-1.187057,2.000000,1.000000,-1.000000,7.551420,9.832410,5.756546,1.952632,0.214936,
48.000000,74.000000,241.339784,-0.972539,2.000000,1.000000,-1.000000,6.050338,8.062739,2.924195,0.938667,0.228788,
43.000000,74.000000,250.078227,-6.904490,2.000000,1.000000,-1.000000,11.247360,9.706237,4.249854,1.300791,0.164552,
47.000000,61.000000,248.663711,-6.578486,2.000000,1.000000,-1.000000,7.441813,7.196658,4.600994,1.424727,0.199704,
54.000000,43.000000,214.291679,-5.725376,2.000000,1.000000,-1.000000,3.889566,5.652141,3.466006,2.376125,0.200960,
56.000000,64.000000,253.665412,-2.237003,2.000000,1.000000,-1.000000,6.492259,4.091612,1.561733,0.820634,0.184943,
54.000000,53.000000,244.224904,-5.739716,2.000000,1.000000,-1.000000,1.543429,4.277235,2.845348,0.580968,0.086588,
54.000000,66.000000,259.661900,-1.546321,2.000000,1.000000,-1.000000,5.689510,9.000784,5.420760,0.969078,0.181869,
44.000000,61.000000,259.195060,-4.125997,2.000000,1.000000,-1.000000,3.869709,9.000883,8.590240,3.059360,0.659671,
29.000000,44.000000,245.203946,-3.588266,2.000000,1.000000,-1.000000,2.552589,2.732664,1.845294,0.690804,0.132550,
43.000000,35.000000,243.805666,-3.736873,2.000000,1.000000,-1.000000,5.241487,8.227410,3.195521,0.738636,0.080845,
40.000000,14.000000,246.970019,-4.633350,2.000000,1.000000,-1.000000,19.270785,15.903625,10.792121,9.337773,1.451165,
29.000000,34.000000,213.144925,-2.376950,2.000000,1.000000,-1.000000,5.511864,7.788106,3.374774,0.968642,0.281781,
47.000000,50.000000,234.382826,-4.187904,2.000000,1.000000,-1.000000,19.937095,9.405847,4.134810,4.050418,0.396634,
30.000000,61.000000,271.296793,-3.345125,2.000000,1.000000,-1.000000,8.851345,10.434552,6.571803,4.974068,1.784847,
30.000000,78.000000,256.241000,-3.985184,2.000000,1.000000,-1.000000,2.442917,2.984967,1.952251,0.600359,0.102959,
44.000000,75.000000,214.059517,-2.268180,2.000000,1.000000,-1.000000,11.417879,8.030373,3.438216,0.738324,0.112770,
53.000000,70.000000,205.540905,-3.260161,2.000000,1.000000,-1.000000,10.833344,14.095391,7.792699,2.231386,0.175516,
54.000000,63.000000,202.606752,-2.871402,2.000000,1.000000,-1.000000,4.603218,10.029961,11.674561,13.977677,3.890076,
57.000000,69.000000,193.347388,-5.008745,2.000000,1.000000,-1.000000,7.653256,16.589525,9.040757,5.196880,1.401795,
44.000000,63.000000,180.920566,-10.324311,2.000000,1.000000,-1.000000,11.576985,35.530873,26.072187,6.006452,0.982840,
34.000000,69.000000,171.615662,-6.939145,2.000000,1.000000,-1.000000,18.000342,23.139672,14.226046,12.914867,3.301826,
30.000000,83.000000,193.259483,-7.129652,2.000000,1.000000,-1.000000,6.851288,5.786343,3.712325,2.478001,0.229368,
20.000000,63.000000,213.370832,-5.794884,2.000000,1.000000,-1.000000,11.638132,17.926180,12.367505,9.265940,1.356782,
10.000000,53.000000,197.266602,-11.224256,2.000000,1.000000,-1.000000,13.090468,24.160737,20.665167,7.696225,1.188514,
3.000000,43.000000,167.287298,-5.658103,2.000000,1.000000,-1.000000,17.808071,24.216391,13.391436,4.618148,1.284112,
1.000000,35.000000,192.632416,-6.227122,2.000000,1.000000,-1.000000,4.010804,5.356439,5.877225,3.163679,0.280837,
16.000000,51.000000,179.649652,-8.362311,2.000000,1.000000,-1.000000,10.023121,10.618829,9.584309,8.662867,1.346127,
29.000000,69.000000,136.841506,-10.037031,2.000000,1.000000,-1.000000,3.736282,4.685274,4.039940,2.244268,0.615533,
38.000000,77.000000,120.038336,-11.205608,2.000000,1.000000,-1.000000,8.483068,7.133225,5.706826,2.318816,0.460706,
51.000000,81.000000,142.269144,-11.020804,2.000000,1.000000,-1.000000,41.745402,19.087079,7.792467,6.076006,0.624537,
40.000000,81.000000,152.056076,-6.266377,2.000000,1.000000,-1.000000,4.038796,4.400134,2.811249,1.043721,0.083034,
43.000000,70.000000,138.682302,-9.002710,2.000000,1.000000,-1.000000,1.478913,3.262093,1.893090,0.557115,0.089146,
44.000000,69.000000,138.047928,-9.027891,2.000000,1.000000,-1.000000,15.276803,16.899559,12.032703,5.642692,0.841936,
38.000000,64.000000,124.062567,-9.920355,2.000000,1.000000,-1.000000,13.574469,12.247657,6.178148,5.687166,0.793876,
43.000000,66.000000,95.313072,-8.651038,2.000000,1.000000,-1.000000,7.400971,6.548632,2.262333,0.986837,0.170380,
44.000000,70.000000,112.405567,-11.963169,2.000000,1.000000,-1.000000,11.406224,8.930661,3.406281,1.031513,0.100136,
50.000000,69.000000,98.728353,-9.676720,2.000000,1.000000,-1.000000,3.757335,3.798817,1.601275,0.390705,0.079890,
61.000000,81.000000,93.144635,-8.102986,2.000000,1.000000,-1.000000,4.480009,8.764365,4.490480,0.467242,0.088994,
57.000000,56.000000,89.489516,-13.432859,2.000000,1.000000,-1.000000,4.343076,7.153559,5.941307,1.485901,0.132995,
50.000000,57.000000,76.123520,-10.768906,2.000000,1.000000,-1.000000,2.368789,5.313562,3.102394,0.602667,0.199341,
47.000000,63.000000,70.631070,-6.720094,2.000000,1.000000,-1.000000,2.263014,4.580128,3.548410,0.659411,0.034927,
44.000000,70.000000,66.279897,-8.805417,2.000000,1.000000,-1.000000,8.061219,7.794267,4.336801,1.726710,0.368155,
54.000000,90.000000,62.764065,-7.253029,2.000000,1.000000,-1.000000,3.073268,2.435917,1.062021,1.121723,0.203818,
61.000000,91.000000,45.522804,-7.508476,2.000000,1.000000,-1.000000,5.305022,6.892242,5.751725,2.490011,0.207804,
57.000000,90.000000,66.758978,-7.923360,2.000000,1.000000,-1.000000,7.094179,9.523539,9.012488,6.768294,0.623691,
50.000000,67.000000,58.310280,-11.226211,2.000000,1.000000,-1.000000,8.676382,15.721115,10.775390,7.650272,2.216554,
35.000000,66.000000,78.908761,-8.359768,2.000000,1.000000,-1.000000,10.530030,14.221370,11.386681,10.114287,1.641388,
27.000000,61.000000,58.046767,-9.401628,2.000000,1.000000,-1.000000,16.052706,14.402913,8.162319,3.666480,0.474977,
23.000000,51.000000,64.913781,-7.551014,2.000000,1.000000,-1.000000,9.056298,6.187629,2.846700,0.728499,0.105234,
37.000000,56.000000,92.477654,-6.887655,2.000000,1.000000,-1.000000,11.720182,12.845125,11.078049,8.683591,1.710984,
30.000000,64.000000,94.939851,-6.914203,2.000000,1.000000,-1.000000,11.430489,12.112268,8.132270,2.747064,0.186273,
41.000000,66.000000,91.818286,-5.993570,2.000000,1.000000,-1.000000,3.078080,6.223093,3.812029,0.543198,0.064848,
56.000000,75.000000,79.304301,-5.352298,2.000000,1.000000,-1.000000,0.877306,3.146036,1.868217,0.517313,0.099288,
50.000000,83.000000,87.503814,-5.548196,2.000000,1.000000,-1.000000,4.008832,3.358348,1.715196,0.756508,0.179886,
60.000000,80.000000,78.645346,-5.516181,2.000000,1.000000,-1.000000,3.107978,4.955237,2.745044,0.637152,0.054168,
60.000000,84.000000,-10.336774,-6.453693,2.000000,1.000000,-1.000000,1.693136,1.792669,1.702266,0.671825,0.226134,
48.000000,80.000000,69.600520,-5.583830,2.000000,1.000000,-1.000000,21.339201,31.581883,15.186168,7.638997,0.924256,
44.000000,56.000000,75.704227,-6.455622,2.000000,1.000000,-1.000000,10.033831,15.098578,9.292938,7.075189,1.174222,
35.000000,44.000000,72.083184,-6.432328,2.000000,1.000000,-1.000000,22.146846,14.392175,6.103745,3.993038,0.821574,
34.000000,38.000000,83.856173,-6.380961,2.000000,1.000000,-1.000000,7.650083,12.832231,5.487268,1.130462,0.114255,
40.000000,37.000000,49.603102,-10.810833,2.000000,1.000000,-1.000000,9.484289,9.797896,6.984609,5.099227,1.386012,
